,rw,sent,区,单元号,小区名,市,建筑物名称,户室号,村居委会,栋号,楼号,楼层,省,社区,组团名称,自然村组,街路巷名,门牌号
0,,,,,,,,,,,,,,,,,,
1,0,-花溪大道北段814号电建一公司A18-5-8-16号--,,,,,,16号,,,,,,,,,花溪大道北段,814号
2,0,-花果园C区1栋1202室--,,,花果园C区,,,1202室,,1栋,,,,,,,,
3,0,-观府壹号一组团44栋1-10-3--,,,观府壹号,,,,,44栋,,,,,一组团,,,1
4,0,-万科大都会8栋27-02--,,,万科大都会,,,,,8栋,,,,,,,,27
5,0,-二桥后冲贵8号贝地-卢加诺住宅小区43-1-8-1号--,,,,,,8号,,,,,,,,,,1
6,0,-金波路120号2栋3-13号--,,,,,,13号,,2栋,,,,,,,金波路,120号
7,0,-花果园项目v区7-1-104--,,,,,,104,,,,,,,,,花果园,7
8,0,-红岩路52号一组团H1-1--,,,,,,52号,,,,,,,一组团,,红岩路,1
9,0,-花果园R1区10栋2-4202--,,,,,,4202,,10栋,,,,,1区,,花果园,2
10,0,-贵乌北路184号3-3-5--,,,,,,184号,,,,,,,,,贵乌北路,3
11,0,-凤凰路45号商住楼C栋2单元8楼1室--,,2单元,,,,1室,,C栋,,8楼,,,,,凤凰路,45号
12,0,-东新区路23-53号29-1-5-1--,,,,,,53号,,,,,,,,,东新区路,29
13,0,-清水江路西工厂宿舍205-3-2--,,,西工厂宿舍,,,205,,,,,,,,,清水江路,3
14,0,-小河翁岩公租房-一号地块-2-12-1--,,,,,,,,,,,,,,,,2
15,0,-玉厂路39号3栋1-14--,,,,,,39号,,3栋,,,,,,,玉厂路,1
16,0,-百花山路金狮小区巫峰组团入口高层1号楼1-2-2号--,,,金狮小区,,,2号,,1号楼,,,,,巫峰组团,,百花山路,1
17,0,-盐务街130号1-9--,,,,,,130号,,,,,,,,,盐务街,1
18,0,-大理石巷8号2-4-3--,,,,,,8号,,,,,,,,,大理石巷,2
19,0,-白果巷27号2单元-4--,,2单元,,,,27号,,,,,,,,,白果巷,4
20,0,-未来方舟H2组团7-1-8-1--,,,未来方舟,,,,,,,,,,H2组团,,,7
21,0,-金阳石林路300号A区40-1-101号--,,,,,,101号,,,,,,,A区,,石林路,300号
22,0,-六砂老宿舍区61-308--,,,,,,308,,,,,,,,,,61
23,0,-花果园L1区3栋-1-3301--,,,,,,3301,,3栋,,,,,1区,,花果园,1
24,0,-市北路148号保利云山国际14-3-23-6号--,,,云山国际,,,6号,,,,,,,,,市北路,14
25,0,-金波路120号4栋4-32号--,,,,,,32号,,4栋,,,,,,,金波路,120号
26,0,-通衢街1栋4-6-12--,,,,,,,,1栋,,,,,,,通衢街,4
27,0,-金顶山50栋27-8-1--,,,,,,,,50栋,,,,,,,,27
28,0,-花果园项目一期1栋3单元3008室--,,3单元,,,,3008室,,1栋,,,,,一期,,花果园,
29,0,-盐务街144号1-6--,,,,,,144号,,,,,,,,,盐务街,1
30,0,-百花组团28栋1单元1-1--,,1单元,,,,,,28栋,,,,,百花组团,,,1
31,0,-保利溪湖5-2-28-2--,,,,,,,,,,,,,,,,5
32,0,-花果园S区5栋1单元3305--,,1单元,花果园S区,,,,,5栋,,,,,,,,3305
33,0,-清溪路209号明秀商贸城11-1-4-4--,,,,,,209号,,,,,,,,,清溪路,11
34,0,-小河清水江路211号多伦多E-7-2-1号--,,,多伦多,,,1号,,,,,,,,,清水江路,211号
35,0,-花果园项目V区9-2-2804--,,,,,,2804,,,,,,,,,花果园,9
36,0,-改茶路78号C3-32-1--,,,,,,78号,,,,,,,,,改茶路,32
37,0,-西湖路26号1栋2单元4-1--,,2单元,,,,26号,,1栋,,,,,,,西湖路,4
38,0,-金阳长岭南路25号2期5-1-16-2号--,,,,,,2号,,,,,,,2期,,长岭南路,5
39,0,-花果园项目V区18-3-4106--,,,,,,4106,,,,,,,,,花果园,18
40,0,-宅吉路106号2-5-502--,,,,,,502,,,,,,,,,宅吉路,106号
41,0,-城市魔方五组团26栋2单元18-7--,,2单元,城市魔方,,,,,26栋,,,,,五组团,,,18
42,0,-花果园一期20栋1单元1202--,,1单元,,,,,,20栋,,,,,一期,,花果园,1202
43,0,-茶园村小康新苑13栋2-4-2号--,,,小康新苑,,,2号,茶园村,13栋,,,,,,,,2
44,0,-高新区长岭南路33号2栋-6-4号--,,,,,,4号,,2栋,,,,,,,,33号
45,0,-花果园J区14栋1-3803--,,,花果园J区,,,3803,,14栋,,,,,,,,1
46,0,-南明食品工业园G9-1-13-9--,,,,,,,,,,,,,,,,1
47,0,-八鸽岩路73号9栋2单元1楼2室--,,2单元,,,,2室,,9栋,,1楼,,,,,八鸽岩路,73号
48,0,-花溪大学城C2-26-1号--,,,,,,1号,,,,,,,,,,26
49,0,-小河翁岩公租房-一号地块-3-15-9--,,,,,,,,,,,,,,,,3
50,0,-南岳路21号4栋2-3-5号--,,,,,,5号,,4栋,,,,,,,南岳路,21号
51,0,-万江小区8-2-5-5-2--,,,万江小区,,,,,,,,,,,,,2
52,0,-龙井安置区11栋3单元301--,,3单元,,,,,,11栋,,,,,,,,301
53,0,--大兴星城-比华利B7栋4-1-2--,,,比华利,,,,,B7栋,,,,,,,,4
54,0,-金竹片区金苑小区A1栋1-1号门面--,,,金苑小区,,,1号,,A1栋,,,,,,,,1
55,0,-金阳诚信路路口--,,,,,,,,,,,,,,,诚信路,
56,0,-东山路渔安新城G3-2-604号--,,,渔安新城,,,604号,,,,,,,,,东山路,2
57,0,-登高路百花巷23-1-3-1--,,,,,,,,,,,,,,,百花巷,23
58,0,-花果园T1区10栋1单元908--,,1单元,,,,,,10栋,,,,,1区,,花果园,908
59,0,-林城东路大关安置房10栋2-27-2--,,,,,,,,10栋,,,,,,,林城东路,2
60,0,-金阳新区长岭北路会展城A区A3组团10-24-3号--,金阳新区,,会展城A区,,,3号,,,,,,,A3组团,,长岭北路,10
61,0,-大庆路84号众拓馨苑P栋2-1-2--,,,众拓馨苑,,,84号,,P栋,,,,,,,大庆路,2
62,0,-箭道南巷4号2-3-15--,,,,,,4号,,,,,,,,,箭道南巷,2
63,0,-锦溪园小区D栋1单元本土味--,,1单元,锦溪园,,,,,D栋,,,,,,,,
64,0,-下麦村绿洲湾小区11-3-201号--,,,绿洲湾,,,201号,下麦村,,,,,,,,,11
65,0,-瑞金南路63号9层A3号--,,,,,,3号,,,,9层,,,,,瑞金南路,63号
66,0,-延安中路58号供水公司宿舍3-1-6-12--,,,,,,58号,,,,,,,,,延安中路,3
67,0,-保利溪湖5-1-22-3--,,,,,,,,,,,,,,,,5
68,0,-金波路120号7栋2-3-9号--,,,,,,9号,,7栋,,,,,,,金波路,120号
69,0,-三桥南路9号筑城康家楠荞苑2-1-1-3号--,,,康家楠荞,,,3号,,,,,,,,,三桥南路,2
70,0,-花果园X区1栋2-3205--,,,花果园X区,,,3205,,1栋,,,,,,,,2
71,0,-花果园项目v区18-3-805--,,,,,,805,,,,,,,,,花果园,18
72,0,-豆腐巷54号1单元3-5--,,1单元,,,,54号,,,,,,,,,豆腐巷,3
73,0,-花果园T2区2-3-705--,,,,,,705,,,,,,,2区,,花果园,2
74,0,-花溪大道726号23栋1-3--,,,,,,726号,,23栋,,,,,,,花溪大道,1
75,0,-永安寺街9号梦想典城A栋2-2-4--,,,梦想典城,,,9号,,A栋,,,,,,,永安寺街,2
